Sample,Path,Zone,Freq,13C.MASOC.Conc,13C.POC.Conc,13C.Stabilized.Conc,MASOC.CN,13.MBC.Conc,13C.DOC.Conc,MBC.All,13C.POC.Microcosm,13C.MASOC.Microcosm,13C.MBC.Microcosm,13C.Org.Microcosm,13C.Stable.MASOC,13C.Percent.Stabilized
1,Below,Rhizo,Drip,146.7,33.71,,12.05,26.17,3.02,439.33,707.91,3080.63,549.47,13.49,,
2,Below,Rhizo,Drip,313.24,77.72,166.71,11.89,50.41,2.43,322.66,1632.12,6577.95,1058.57,9.15,3617.56,4.45
3,Below,Rhizo,Drip,277.1,61.03,192.61,11.82,62.27,0.28,506.38,1281.63,5819.11,1307.73,4.27,4179.63,5.14
4,Below,Rhizo,Drip,217.02,44.99,,11.98,31.04,2.24,293.1,944.79,4557.33,651.84,18.57,2903.22,3.57
5,Below,Rhizo,Drip,300.16,60.53,183.2,12.02,19.08,0.32,268.59,1271.13,6303.28,400.68,26.02,3975.4,4.89
6,Below,Rhizo,Drip,63.67,20.24,,11.96,37.22,1.05,353.21,425.04,1337.04,781.56,5.94,,
7,Below,Rhizo,Pulse,403.97,66.18,195.4,12.04,71.27,2.82,236.65,1389.78,8483.28,1496.67,13.75,4240.2,5.22
8,Below,Rhizo,Pulse,333.05,54.45,192.66,12.04,78.27,3.14,216.4,1143.45,6993.97,1643.63,8.77,4180.81,5.15
9,Below,Rhizo,Pulse,292.54,45.68,,12.04,26.17,4.16,161.56,959.28,6143.33,549.53,4.63,,
10,Below,Rhizo,Pulse,292.56,70.22,158.4,11.91,89.07,4.17,324.93,1474.62,6143.79,1870.43,18.41,3437.3,4.23
11,Below,Rhizo,Pulse,283.92,51.01,151.16,11.98,63.84,4.1,319.72,1071.21,5962.23,1340.56,22.83,3280.26,4.04
12,Below,Rhizo,Pulse,232.43,46.42,136.21,12,89.3,5.25,237.55,9748.2,48811.04,18753,5.48,2955.72,3.64
13,Below,Bulk,Drip,79.65,30.91,37.68,12.18,30.23,0.87,319.28,6491.1,16726.34,6347.67,10.93,8003.73,9.85
14,Below,Bulk,Drip,107.25,36.65,45.48,12.12,31.16,0.95,229.77,7696.5,22523.04,6542.55,19.56,9658.97,11.89
15,Below,Bulk,Drip,105.36,41.49,45.84,12.14,34.12,0.89,265.72,8712.9,22124.63,7165.62,17.1,9736.93,11.98
16,Below,Bulk,Drip,99.03,46.58,57.03,12.22,31.87,0.79,271.41,9781.8,20797.21,6693.33,12.98,12113.85,14.91
17,Below,Bulk,Drip,93.23,34.23,45.69,12.2,22.73,0.77,168.72,7188.3,19579.11,4772.46,33.23,9704.4,11.94
18,Below,Bulk,Drip,102.69,35.97,61.47,12.11,26.05,1.12,195.66,7553.7,21565.33,5470.92,15.06,13056.22,16.07
19,Below,Bulk,Pulse,104.56,36.51,48.29,12.05,33.77,1.45,434.08,7667.1,21957.19,7091.7,41.28,10257.1,12.62
20,Below,Bulk,Pulse,110.85,36.49,52.48,12.04,30.31,1.18,202.21,7662.9,23279.4,6365.1,16.19,11147.42,13.72
21,Below,Bulk,Pulse,101.26,40.81,56.95,12.03,22.32,1.38,210.33,8570.1,21265.35,4686.15,12.16,12095.19,14.89
22,Below,Bulk,Pulse,92.39,39.82,44.91,12.15,31.3,1.19,220.8,8362.2,19402.07,6572.58,8.9,9538.76,11.74
23,Below,Bulk,Pulse,96.37,43.23,46.89,12.02,29.64,1.05,330.09,9078.3,20237.63,6223.56,4.22,9959.92,12.26
24,Below,Bulk,Pulse,68.49,24.63,36.89,12.25,19.03,0.61,254.26,5172.3,14383.16,3997.14,3.56,7836.42,9.64
25,Above,Rhizo,Drip,317.01,81.43,,11.84,3.98,2.59,492.46,1710.03,6657.29,83.62,366.66,,
26,Above,Rhizo,Drip,222.45,62.69,,11.93,23.31,4.4,403.49,1316.49,4671.55,489.41,301.77,,
27,Above,Rhizo,Drip,338.74,67.06,,11.97,15.94,6.51,309.71,1408.26,7113.62,334.76,384.47,,
28,Above,Rhizo,Drip,270.04,95.52,156.34,11.93,36.88,1.79,304.89,2005.92,5670.75,774.44,785.39,3392.61,4.18
29,Above,Rhizo,Drip,285.02,75.97,182.83,11.89,48.91,2.42,252.91,1595.37,5985.4,1027.09,296.43,3967.33,4.88
30,Above,Rhizo,Drip,201.65,55.41,118.6,12.02,33.74,3.33,492.21,1163.61,4234.56,708.52,290.39,2573.58,3.17
31,Above,Rhizo,Pulse,159.48,37.98,91.31,12.19,32.17,2.39,391.46,797.58,3349.03,675.49,155.75,1981.4,2.44
32,Above,Rhizo,Pulse,362.49,69.15,231.12,12.01,74.15,4.93,288.32,1452.15,7612.24,1557.11,215.11,5015.31,6.17
33,Above,Rhizo,Pulse,369.4,78.91,233.35,12.05,37.09,3.63,233.52,1657.11,7757.42,778.85,257.78,5063.74,6.23
